iter	MultiClass
0	1.255459691
1	1.172185317
2	1.077526687
3	0.9960647472
4	0.9435890459
5	0.8863038808
6	0.8297751779
7	0.7936422493
8	0.7493634987
9	0.714877555
10	0.6848404637
11	0.6547798257
12	0.6245847526
13	0.6007239189
14	0.5727022393
15	0.5506998595
16	0.5312971684
17	0.5076799341
18	0.4887672801
19	0.4706280873
20	0.4545281962
21	0.4441184201
22	0.4301396617
23	0.419968168
24	0.4035616906
25	0.3902651359
26	0.3795193685
27	0.3693603546
28	0.3580448702
29	0.3492932956
30	0.3414223731
31	0.3311894347
32	0.3260853269
33	0.3197647371
34	0.3120614253
35	0.3064848147
36	0.3016983684
37	0.2962608035
38	0.2880814987
39	0.2829414857
40	0.2783071206
41	0.2745029306
42	0.2691092681
43	0.2646227414
44	0.260958905
45	0.2565109738
46	0.2513241979
47	0.2472301084
48	0.2447911816
49	0.2425815281
50	0.2388352646
51	0.2356396141
52	0.2312554029
53	0.2278240348
54	0.2253260693
55	0.2229029331
56	0.2180679928
57	0.2144164938
58	0.2123574647
59	0.2104264848
60	0.206476674
61	0.2017302746
62	0.1993057115
63	0.1974422717
64	0.195087743
65	0.1934995428
66	0.1901676982
67	0.1868446031
68	0.1847818972
69	0.1830542882
70	0.1805669867
71	0.1787157938
72	0.1754427688
73	0.1735478063
74	0.1701896731
75	0.1667165787
76	0.165403813
77	0.1632665251
78	0.1611414336
79	0.1583310286
80	0.1567001708
81	0.1553437773
82	0.1531370433
83	0.1514271419
84	0.1498800511
85	0.1478285475
86	0.1467997653
87	0.145292453
88	0.1436780051
89	0.1421699101
90	0.1407008787
91	0.1391179937
92	0.1364794604
93	0.1347714261
94	0.1329798031
95	0.1318149155
96	0.1306563553
97	0.1293910338
98	0.1281026463
99	0.1262223051
