iter	Passed	Remaining
0	14	1401
1	26	1308
2	38	1253
3	51	1235
4	63	1206
5	75	1183
6	88	1169
7	99	1147
8	112	1135
9	124	1118
10	136	1104
11	149	1092
12	161	1080
13	173	1065
14	185	1050
15	197	1034
16	210	1025
17	222	1011
18	235	1002
19	246	987
20	258	973
21	270	960
22	283	950
23	295	936
24	308	926
25	320	913
26	333	901
27	344	887
28	357	876
29	369	862
30	381	849
31	393	836
32	405	823
33	417	810
34	429	798
35	441	785
36	455	775
37	467	762
38	479	749
39	491	737
40	503	724
41	515	712
42	528	700
43	541	689
44	553	676
45	566	664
46	579	653
47	591	640
48	603	628
49	616	616
50	628	603
51	640	590
52	652	578
53	664	566
54	677	554
55	689	541
56	701	529
57	713	516
58	726	504
59	738	492
60	750	480
61	763	467
62	775	455
63	788	443
64	801	431
65	813	419
66	826	407
67	838	394
68	851	382
69	862	369
70	874	357
71	886	344
72	899	332
73	912	320
74	924	308
75	936	295
76	948	283
77	960	271
78	972	258
79	985	246
80	997	233
81	1010	221
82	1023	209
83	1035	197
84	1047	184
85	1060	172
86	1071	160
87	1084	147
88	1096	135
89	1108	123
90	1121	110
91	1133	98
92	1145	86
93	1158	73
94	1171	61
95	1182	49
96	1196	36
97	1209	24
98	1220	12
99	1232	0
